,boro, nb, count
451,Staten Island,LaGuardia Airport,191
452,Queens,Kingsbridge,15
453,Brooklyn,Sunset Park,2070
454,Queens,West Farms,3
455,Bronx,Downtown Brooklyn,110
456,Queens,Gravesend,8
457,Queens,Edgemere,13
458,Manhattan,Ferry Point Park,2
459,Brooklyn,East Village,54624
460,Bronx,Fresh Meadows,2
461,Brooklyn,Windsor Terrace,508
462,Queens,Bellerose,97
463,Bronx,Mount Hope,210
464,Queens,Woodside,8515
465,Manhattan,Country Club,1
466,Manhattan,Brighton Beach,24
467,Brooklyn,Hunts Point,2
468,Manhattan,Sheepshead Bay,63
469,Bronx,Floral Park,1
470,Manhattan,Forest Park,23
471,Manhattan,Chelsea,1264335
472,Brooklyn,Highbridge,3
473,Manhattan,Eastchester,3
474,Queens,Fordham,9
475,Manhattan,Richmond Hill,268
476,Brooklyn,Cobble Hill,7353
477,Bronx,Ozone Park,1
478,Brooklyn,Pelham Bay,1
479,Manhattan,Columbia St,430
480,Queens,Shore Acres,1
481,Manhattan,Bay Ridge,110
482,Brooklyn,Bedford-Stuyvesant,3668
483,Brooklyn,Laurelton,2
484,Manhattan,Shore Acres,2
485,Queens,St. Albans,162
486,Queens,Sheepshead Bay,18
487,Bronx,Mount Eden,258
488,Bronx,Marble Hill,21
489,Manhattan,Roosevelt Island,1445
490,Queens,Flatiron District,6895
491,Brooklyn,Inwood,18
492,Staten Island,Dongan Hills,14
493,Manhattan,Morrisania,30
494,Manhattan,South Slope,971
495,Bronx,Inwood,165
496,Staten Island,West Brighton,12
497,Staten Island,Arden Heights,18
498,Manhattan,Tribeca,251970
499,Queens,Prospect Park,41
500,Bronx,Flushing,47
501,Bronx,Long Island City,292
502,Manhattan,Hunts Point,15
503,Brooklyn,Lower East Side,39276
504,Manhattan,Highbridge,116
505,Manhattan,Downtown Brooklyn,18793
506,Staten Island,Tribeca,99
507,Brooklyn,Jamaica Estates,1
508,Staten Island,Great Kills,18
509,Bronx,Boerum Hill,15
510,Manhattan,Nolita,58441
511,Brooklyn,Rossville,1
512,Queens,South Slope,133
513,Queens,Maspeth,2245
514,Queens,Stuyvesant Town,2408
515,Bronx,Morris Heights,320
516,Brooklyn,Fordham,2
517,Queens,Bedford-Stuyvesant,237
518,Brooklyn,Broad Channel,11
519,Brooklyn,Jackson Heights,146
520,Bronx,Lower East Side,678
521,Bronx,Carroll Gardens,14
522,Manhattan,Harlem,74518
523,Staten Island,Huguenot,12
524,Bronx,College Point,8
525,Queens,Norwood,6
526,Brooklyn,Clinton Hill,3001
527,Queens,Kips Bay,13065
528,Queens,Bayswater,19
529,Brooklyn,Van Cortlandt Park,2
530,Brooklyn,Flatlands,308
531,Bronx,Van Cortlandt Park,85
532,Bronx,Ferry Point Park,29
533,Brooklyn,Flatiron District,8631
534,Queens,Washington Heights,1000
535,Manhattan,Castleton Corners,4
536,Manhattan,Pelham Bay Park,6
537,Bronx,Sunset Park,5
538,Staten Island,Great Kills Park,8
539,Queens,Bayside,246
540,Queens,Concourse,51
541,Staten Island,Manhattan Beach,1
542,Staten Island,Woodrow,9
543,Bronx,East Morrisania,296
544,Bronx,Olinville,28
545,Brooklyn,Little Italy,2337
546,Staten Island,Emerson Hill,75
547,Bronx,Norwood,300
548,Brooklyn,Midtown,55325
549,Brooklyn,Forest Hills,361
550,Manhattan,Brownsville,15
551,Manhattan,Rego Park,738
552,Queens,Clinton Hill,196
553,Staten Island,Chelsea,203
554,Manhattan,Fordham,42
555,Queens,Van Cortlandt Park,5
556,Queens,Whitestone,154
557,Queens,Broad Channel,246
558,Queens,Murray Hill,19640
559,Brooklyn,Hell's Kitchen,18822
560,Queens,Corona,586
561,Queens,Jamaica Estates,285
562,Staten Island,Long Island City,5
563,Manhattan,Briarwood,280
564,Queens,Elmhurst,5223
565,Queens,Flushing,5317
566,Brooklyn,Mill Basin,30
567,Queens,University Heights,4
568,Manhattan,Gravesend,32
569,Queens,Lower East Side,9601
570,Manhattan,Port Morris,451
571,Queens,Gramercy,11282
572,Staten Island,Lower East Side,40
573,Staten Island,Brighton Beach,1
574,Manhattan,Melrose,81
575,Staten Island,Ditmars Steinway,1
576,Manhattan,Flushing Meadows Corona Park,841
577,Manhattan,Little Neck,4
578,Brooklyn,Prospect Park,834
579,Manhattan,Crown Heights,587
580,Manhattan,Two Bridges,3659
581,Brooklyn,Gravesend,1223
582,Staten Island,Midland Beach,7
583,Manhattan,Upper West Side,1308385
584,Brooklyn,Howard Beach,24
585,Manhattan,Cobble Hill,6926
586,Staten Island,Maspeth,2
587,Brooklyn,Flushing,69
588,Manhattan,Fresh Meadows,8
589,Brooklyn,Cambria Heights,4
590,Bronx,Bay Ridge,1
591,Manhattan,SoHo,343790
592,Brooklyn,Port Richmond,1
593,Queens,Civic Center,1397
594,Staten Island,Midtown,385
595,Manhattan,Financial District,244450
596,Bronx,Whitestone,11
597,Bronx,Chinatown,202
598,Manhattan,Todt Hill,2
599,Brooklyn,Clason Point,1
600,Brooklyn,Cypress Hills,177
601,Brooklyn,Brooklyn Heights,10655
602,Brooklyn,Port Morris,7
603,Queens,Riverdale,1
604,Brooklyn,LaGuardia Airport,30914
605,Brooklyn,St. Albans,4
606,Manhattan,Bay Terrace,1
607,Manhattan,Floral Park,6
608,Queens,Greenwich Village,9413
609,Queens,East New York,86
610,Bronx,Kew Gardens,2
611,Brooklyn,Glendale,22
